playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Marten de Roon,/marten-de-roon/profil/spieler/133179,26,DM,Netherlands,10000000,16700000,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-6700000,32.0,1.85,right,ITA-Serie A,Atalanta,NED,MF,26.0,1991.0,34,29,2571,28.6,3,3,6,2,1,2,9,2,3.4,1.8,1.4,3.2,31.0,205.0,33.0,0.11,0.11,0.21,0.07,0.18,0.12,0.05,0.17,0.06,0.11,2018
Timothy Castagne,/timothy-castagne/profil/spieler/262226,21,RB,Belgium,25000000,6500000,KRC Genk,/krc-genk/startseite/verein/1184,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,18500000,27.0,1.85,right,ITA-Serie A,Atalanta,BEL,DF,21.0,1995.0,20,17,1500,16.7,0,1,1,0,0,0,4,0,1.1,1.1,2.2,3.3,38.0,58.0,115.0,0.0,0.06,0.06,0.0,0.06,0.07,0.13,0.2,0.07,0.2,2018
Andreas Cornelius,/andreas-cornelius/profil/spieler/203412,24,CF,Denmark,2500000,6000000,FC Copenhagen,/fc-kopenhagen/startseite/verein/190,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-3500000,30.0,1.93,left,ITA-Serie A,Atalanta,DEN,FW,24.0,1993.0,23,8,934,10.4,3,1,4,3,0,0,0,0,3.8,3.8,2.1,5.9,18.0,23.0,127.0,0.29,0.1,0.39,0.29,0.39,0.36,0.2,0.56,0.36,0.56,2018
José Luis Palomino,/jose-luis-palomino/profil/spieler/125020,27,CB,Argentina,2500000,4700000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2017,-2200000,33.0,1.88,left,ITA-Serie A,Atalanta,ARG,DF,27.0,1990.0,26,22,1979,22.0,1,0,1,1,0,0,3,0,1.7,1.7,0.4,2.1,16.0,80.0,4.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.1,0.08,0.1,2018
Gianluca Di Chiara,/gianluca-di-chiara/profil/spieler/189340,23,LB,Italy,750000,2800000,AC Perugia Calcio,/ac-perugia-calcio/startseite/verein/839,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2050000,29.0,1.86,left,ITA-Serie A,Benevento,ITA,DF,23.0,1993.0,13,11,1007,11.2,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,22.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,2018
Jean-Claude Billong,/jean-claude-billong/profil/spieler/391192,24,CB,Cameroon,250000,2500000,NK Maribor,/nk-maribor/startseite/verein/790,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-2250000,29.0,1.92,right,ITA-Serie A,Benevento,CMR,DF,23.0,1993.0,5,3,294,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2018
Samuel Armenteros,/samuel-armenteros/profil/spieler/55751,27,CF,Sweden,500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1500000,33.0,1.78,left,ITA-Serie A,Benevento,SWE,FW,27.0,1990.0,9,5,429,4.8,1,0,1,1,0,0,1,0,1.4,1.4,0.0,1.4,2.0,8.0,17.0,0.21,0.0,0.21,0.21,0.21,0.29,0.0,0.29,0.29,0.29,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Benevento,SVN,GK,27.0,1990.0,13,13,1113,12.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Vid Belec,/vid-belec/profil/spieler/73090,27,GK,Slovenia,500000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-1250000,33.0,1.92,right,ITA-Serie A,Sampdoria,SVN,GK,27.0,1990.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Gaetano Letizia,/gaetano-letizia/profil/spieler/160560,27,RB,Italy,900000,1750000,Carpi FC 1909,/carpi-fc-1909/startseite/verein/4102,Benevento Calcio,/benevento-calcio/startseite/verein/4171,in,2017,-850000,33.0,1.73,both,ITA-Serie A,Benevento,ITA,DF,27.0,1990.0,29,25,2141,23.8,1,0,1,1,0,0,6,2,0.8,0.8,1.0,1.8,94.0,100.0,109.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,2018
