playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Moussa Konaté,/moussa-konate/profil/spieler/192774,24,CF,Senegal,900000,3500000,FC Sion,/fc-sion/startseite/verein/321,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-2600000,30.0,1.83,right,FRA-Ligue 1,Amiens,SEN,FW,24.0,1993.0,33,28,2472,27.5,13,1,14,11,2,2,8,0,10.2,8.6,1.5,10.0,46.0,42.0,173.0,0.47,0.04,0.51,0.4,0.44,0.37,0.05,0.42,0.31,0.37,2018
Bongani Zungu,/bongani-zungu/profil/spieler/240892,24,CM,South Africa,650000,2000000,Vitória Guimarães SC,/vitoria-guimaraes-sc/startseite/verein/2420,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,-1350000,30.0,1.84,right,FRA-Ligue 1,Amiens,RSA,MF,24.0,1992.0,26,24,2084,23.2,1,0,1,1,0,0,5,0,0.2,0.2,0.4,0.6,20.0,90.0,15.0,0.04,0.0,0.04,0.04,0.04,0.01,0.02,0.02,0.01,0.02,2018
Stiven Mendoza,/stiven-mendoza/profil/spieler/131101,25,LW,Colombia,1500000,1000000,Sport Club Corinthians Paulista,/corinthians-sao-paulo/startseite/verein/199,Amiens SC,/amiens-sc/startseite/verein/1416,in,2017,500000,31.0,1.72,left,FRA-Ligue 1,Amiens,COL,"FW,MF",25.0,1992.0,13,12,1032,11.5,2,0,2,2,0,0,0,0,2.3,2.3,0.7,3.0,22.0,23.0,81.0,0.17,0.0,0.17,0.17,0.17,0.2,0.06,0.26,0.2,0.26,2018
Lassana Coulibaly,/lassana-coulibaly/profil/spieler/386552,21,CM,Mali,5000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,3000000,27.0,1.83,right,FRA-Ligue 1,Angers,MLI,MF,21.0,1996.0,20,8,838,9.3,1,2,3,1,0,0,1,0,1.0,1.0,1.2,2.1,24.0,38.0,46.0,0.11,0.21,0.32,0.11,0.32,0.11,0.12,0.23,0.11,0.23,2018
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,20,AM,France,9000000,1400000,Valenciennes FC,/fc-valenciennes/startseite/verein/1423,Angers SCO,/sco-angers/startseite/verein/1420,in,2017,7600000,26.0,1.82,right,FRA-Ligue 1,Angers,FRA,MF,20.0,1996.0,29,16,1529,17.0,3,5,8,3,0,0,4,0,3.1,3.1,3.9,7.0,39.0,74.0,116.0,0.18,0.29,0.47,0.18,0.47,0.18,0.23,0.41,0.18,0.41,2018
Jonathan Cafu,/jonathan-cafu/profil/spieler/347100,26,RW,Brazil,450000,7500000,Ludogorets Razgrad,/pfk-ludogorets-razgrad/startseite/verein/31614,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-7050000,31.0,1.75,right,FRA-Ligue 1,Bordeaux,BRA,"FW,MF",26.0,1991.0,19,5,633,7.0,2,1,3,2,0,0,1,0,2.0,2.0,0.9,2.9,36.0,16.0,75.0,0.28,0.14,0.43,0.28,0.43,0.29,0.12,0.41,0.29,0.41,2018
Otávio,/otavio/profil/spieler/312314,23,DM,Brazil,6000000,5000000,Atlético Paranaense,/club-athletico-paranaense/startseite/verein/679,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,1000000,29.0,1.73,right,FRA-Ligue 1,Bordeaux,BRA,MF,23.0,1994.0,21,19,1484,16.5,0,0,0,0,0,0,5,1,0.3,0.3,0.5,0.9,12.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2018
Lukas Lerager,/lukas-lerager/profil/spieler/167105,23,CM,Denmark,3000000,3500000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-500000,29.0,1.88,right,FRA-Ligue 1,Bordeaux,DEN,MF,24.0,1993.0,37,37,3283,36.5,3,1,4,3,0,0,8,0,4.4,4.4,2.5,7.0,35.0,180.0,97.0,0.08,0.03,0.11,0.08,0.11,0.12,0.07,0.19,0.12,0.19,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,ESP-La Liga,Málaga,FRA,DF,29.0,1988.0,15,13,1239,13.8,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,0.0,25.0,3.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,2018
Paul Baysse,/paul-baysse/profil/spieler/43256,29,CB,France,0,1000000,Málaga CF,/fc-malaga/startseite/verein/1084,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2017,-1000000,35.0,1.85,right,FRA-Ligue 1,Bordeaux,FRA,DF,29.0,1988.0,8,6,566,6.3,0,0,0,0,0,0,0,1,0.6,0.6,0.0,0.6,7.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,2018
